Year of divorce,All durations,0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years
2022,78759,4,405,1660,3126,3478,3925,4084,4143,4064,4078,3940
2021,111934,10,1283,3162,4538,5253,5671,5990,6017,6229,5961,5433
2020,102438,29,1501,3126,4401,5047,5454,5784,5680,5654,5463,4895
2019,107599,25,1249,3163,4268,5133,5533,6073,6131,5728,5431,4918
2018,90871,34,1190,2620,3710,4254,4889,5191,4954,4490,4376,4035
2017,101669,44,1534,3091,4446,5462,6128,5603,5209,4975,4887,4479
2016,106959,49,1620,3335,4976,6140,6224,5865,5547,5236,4990,4767
2015,101055,65,1621,3373,5143,5677,5883,5389,5200,4943,4546,4631
2014,111169,70,1973,3942,5637,6379,6424,6026,5733,5566,5336,5363
2013,114720,79,2055,4137,5647,6272,6449,6410,6005,6152,5980,5087
2012,118140,49,2033,4186,5710,6550,6748,6542,6919,6961,5857,5114
2011,117558,30,1748,4025,5890,6654,6727,7111,7263,6389,5499,5184
2010,119589,17,1897,4364,6109,6936,7418,7652,7101,5995,5534,5116
2009,113949,21,1951,4298,5884,6947,7561,6864,5968,5634,5263,4818
2008,121708,27,2103,4807,6776,7929,7369,6714,6365,6034,5321,4930
2007,128131,38,2558,5599,7206,7574,7164,7046,6560,6072,5577,5458
2006,132140,37,2793,5933,7226,7376,7398,7310,6769,6249,6010,5564
